Player,Season,From Club,To Club,Market Value,Transfer Fee
Sander Berge,19/20,KRC Genk,Sheff Utd,€22.00m,€25.00m
Sander Berge,16/17,Vålerenga,KRC Genk,€800k,€2.00m
Sander Berge,14/15,Asker,Vålerenga,-,?
Sander Berge,13/14,Asker FH Yth.,Asker,-,-
Christoph Baumgartner,23/24,TSG Hoffenheim,RB Leipzig,€24.00m,€25.50m
Christoph Baumgartner,18/19,Hoffenheim II,TSG Hoffenheim,€350k,-
Christoph Baumgartner,18/19,Hoffenheim U19,Hoffenheim II,-,-
Christoph Baumgartner,17/18,St. Pölten U18,Hoffenheim U19,-,?
Christoph Baumgartner,15/16,St. Pölten U16,St. Pölten U18,-,-
Christoph Baumgartner,14/15,St. Pölten U15,St. Pölten U16,-,-
Christoph Baumgartner,12/13,Horn Youth,St. Pölten U15,-,?
Sebastian Szymanski,23/24,Dynamo Moscow,Fenerbahce,€18.00m,€9.75m
Sebastian Szymanski,22/23,Feyenoord,Dynamo Moscow,€18.00m,End of loan
Sebastian Szymanski,22/23,Dynamo Moscow,Feyenoord,€14.00m,"Loan fee:
€2.00m"
Sebastian Szymanski,19/20,Legia Warszawa,Dinamo Moscow,€6.00m,€5.50m
Sebastian Szymanski,16/17,Legia II,Legia Warszawa,-,-
Sebastian Szymanski,15/16,Legia U19,Legia II,-,-
