player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Teun Koopmeiners,40.0,Attacking Midfield,"Central Midfield, Defensive Midfield",Netherlands,1998-02-28,Castricum  ,Netherlands,184,Atalanta BC,2027-06-30,-,,7,left,,26
Robin Le Normand,40.0,Centre Back,,Spain,1996-11-11,Pabu  ,France,187,Real Sociedad,2026-06-30,-,,24,right,,28
Mason Mount,40.0,Attacking Midfield,"Central Midfield, Left Midfield",England,1999-01-10,Portsmouth  ,England,181,Manchester United,2028-06-30,-,,7,right,Nike,25
Federico Chiesa,40.0,Left Winger,"Right Winger, Second Striker",Italy,1997-10-25,Genova  ,Italy,175,Juventus FC,2025-06-30,-,,7,right,Nike,27
Donyell Malen,40.0,Right Winger,"Centre-Forward, Left Winger",Netherlands,1999-01-19,Wieringen  ,Netherlands,176,Borussia Dortmund,2026-06-30,-,,21,right,Nike,25
Gianluigi Donnarumma,40.0,Goalkeeper,,Italy,1999-02-25,Castellammare di Stabia  ,Italy,196,Paris Saint-Germain,2026-06-30,-,,99,right,adidas,25
Brais Méndez,40.0,Attacking Midfield,"Central Midfield, Right Winger",Spain,1997-01-07,Mos  ,Spain,184,Real Sociedad,2028-06-30,-,,23,left,,27
Fikayo Tomori,40.0,Centre Back,Right-Back,England,1997-12-19,"Calgary, Alberta  ",Canada,185,AC Milan,2027-06-30,-,,23,right,adidas,27
Serhou Guirassy,40.0,Centre Forward,Left Winger,Guinea,1996-03-12,Arles  ,France,187,VfB Stuttgart,2026-06-30,-,,9,right,adidas,28
Gregor Kobel,40.0,Goalkeeper,,Switzerland,1997-12-06,Zürich  ,Switzerland,196,Borussia Dortmund,2028-06-30,-,,1,right,,27
Ederson,40.0,Goalkeeper,,Brazil,1993-08-17,Osasco (SP)  ,Brazil,188,Manchester City,2026-06-30,-,,31,left,Puma,31
André Onana,40.0,Goalkeeper,,Cameroon,1996-04-02,Nkol Ngok  ,Cameroon,190,Manchester United,2028-06-30,-,,24,right,adidas,28
Rúben Neves,40.0,Defensive Midfield,Central Midfield,Portugal,1997-03-13,Santa Maria da Feira  ,Portugal,180,Al-Hilal SFC,2026-06-30,-,,8,right,Nike,27
Milan Skriniar,40.0,Centre Back,,Slovakia,1995-02-11,Žiar nad Hronom  ,Slovakia,188,Paris Saint-Germain,2028-06-30,-,,37,right,Puma,29
Andreas Christensen,40.0,Centre Back,Defensive Midfield,Denmark,1996-04-10,Lillerød  ,Denmark,187,FC Barcelona,2026-06-30,-,,15,right,adidas,28
Julian Brandt,40.0,Attacking Midfield,"Right Winger, Left Winger",Germany,1996-05-02,Bremen  ,Germany,185,Borussia Dortmund,2026-06-30,-,,19,right,Nike,28
Adrien Rabiot,40.0,Central Midfield,"Defensive Midfield, Left Midfield",France,1995-04-03,Saint-Maurice  ,France,188,Juventus FC,2024-06-30,-,,25,left,adidas,29
Mike Maignan,40.0,Goalkeeper,,France,1995-07-03,Cayenne  ,French Guiana,191,AC Milan,2026-06-30,-,,16,right,,29
Nathan Aké,40.0,Centre Back,"Left-Back, Defensive Midfield",Netherlands,1995-02-18,Den Haag  ,Netherlands,180,Manchester City,2027-06-30,-,,6,left,Nike,29
Hakan Çalhanoğlu,40.0,Defensive Midfield,"Central Midfield, Attacking Midfield",Türkiye,1994-02-08,Mannheim  ,Germany,178,Inter Milan,2027-06-30,-,,20,right,Nike,30
Rico Lewis,38.0,Right Back,"Defensive Midfield, Right Midfield",England,2004-11-21,Bury  ,England,169,Manchester City,2028-06-30,-,,82,right,,20
Bryan Mbeumo,38.0,Right Winger,"Second Striker, Centre-Forward",Cameroon,1999-08-07,Avallon  ,France,171,Brentford FC,2026-06-30,-,,19,left,,25
