player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Kevin Schade,€25.00m,Right Winger,"['Left Winger', 'Centre-Forward']",Germany,"Nov 27, 2001 (22)",Potsdam  ,Germany,"1,85 m",Brentford FC,30-Jun-28,-,-,#9,right,Puma
David Neres,€25.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",Brazil,"Mar 3, 1997 (27)",São Paulo  ,Brazil,"1,76 m",SL Benfica,30-Jun-27,-,-,#7,left,adidas
Nathan Collins,€25.00m,Centre-Back,['Right-Back'],Ireland,"Apr 30, 2001 (22)",Leixlip  ,Ireland,"1,93 m",Brentford FC,30-Jun-29,-,-,#22,right,
Youssoufa Moukoko,€25.00m,Centre-Forward,['Second Striker'],Germany,"Nov 20, 2004 (19)",Yaoundé  ,Cameroon,"1,79 m",Borussia Dortmund,30-Jun-26,-,-,#18,left,Nike
Mattéo Guendouzi,€25.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",France,"Apr 14, 1999 (25)",Poissy  ,France,"1,85 m",SS Lazio,30-Jun-28,Olympique Marseille,30-Jun-25,#8,right,adidas
Rodrigo Riquelme,€25.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",Spain,"Apr 2, 2000 (24)",Madrid  ,Spain,"1,74 m",Atlético de Madrid,30-Jun-28,-,-,#17,right,
Andrea Cambiaso,€25.00m,Left-Back,"['Right-Back', 'Left Midfield']",Italy,"Feb 20, 2000 (24)",Genova  ,Italy,"1,82 m",Juventus FC,30-Jun-27,-,-,#27,both,adidas
Galeno,€25.00m,Left Winger,"['Right Winger', 'Left Midfield']",Brazil,"Oct 22, 1997 (26)",Barra da Corda  ,Brazil,"1,79 m",FC Porto,30-Jun-28,-,-,#13,right,
Martin Terrier,€25.00m,Left Winger,['Centre-Forward'],France,"Mar 4, 1997 (27)",Armentières  ,France,"1,84 m",Stade Rennais FC,30-Jun-26,-,-,#7,right,adidas
Aaron Ramsdale,€25.00m,Goalkeeper,[],England,"May 14, 1998 (25)",Chesterton  ,England,"1,90 m",Arsenal FC,30-Jun-26,-,-,#1,right,adidas
Jakub Kiwior,€25.00m,Left-Back,"['Centre-Back', 'Defensive Midfield']",Poland,"Feb 15, 2000 (24)",Tychy  ,Poland,"1,89 m",Arsenal FC,30-Jun-28,-,-,#15,left,
Perr Schuurs,€25.00m,Centre-Back,[],Netherlands,"Nov 26, 1999 (24)",Nieuwstadt  ,Netherlands,"1,91 m",Torino FC,30-Jun-26,-,-,#3,right,Nike
Felix Nmecha,€25.00m,Central Midfield,['Attacking Midfield'],Germany,"Oct 10, 2000 (23)",Hamburg  ,Germany,"1,90 m",Borussia Dortmund,30-Jun-28,-,-,#8,right,
Robert Sánchez,€25.00m,Goalkeeper,[],Spain,"Nov 18, 1997 (26)",Cartagena  ,Spain,"1,97 m",Chelsea FC,30-Jun-30,-,-,#1,right,Nike
Jadon Sancho,€25.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",England,"Mar 25, 2000 (24)",London  ,England,"1,80 m",Borussia Dortmund,30-Jun-24,Manchester United,30-Jun-26,#10,right,Nike
Emile Smith Rowe,€25.00m,Attacking Midfield,"['Central Midfield', 'Left Midfield']",England,"Jul 28, 2000 (23)",London  ,England,"1,82 m",Arsenal FC,30-Jun-26,-,-,#10,right,Nike
Yoane Wissa,€25.00m,Left Winger,"['Centre-Forward', 'Right Winger']",DR Congo,"Sep 3, 1996 (27)",Villeneuve-Saint-George  ,France,"1,76 m",Brentford FC,30-Jun-26,-,-,#11,right,
Lovro Majer,€25.00m,Attacking Midfield,['Central Midfield'],Croatia,"Jan 17, 1998 (26)",Zagreb  ,Croatia,"1,78 m",VfL Wolfsburg,30-Jun-28,-,-,#19,left,
Hiroki Ito,€25.00m,Centre-Back,"['Left-Back', 'Defensive Midfield']",Japan,"May 12, 1999 (24)","Hamamatsu, Shizuoka  ",Japan,"1,88 m",VfB Stuttgart,30-Jun-27,-,-,#21,left,
Sean Longstaff,€25.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",England,"Oct 30, 1997 (26)",Newcastle upon Tyne  ,England,"1,87 m",Newcastle United,30-Jun-25,-,-,#36,right,
Rico Henry,€25.00m,Left-Back,['Left Midfield'],England,"Jul 8, 1997 (26)",Birmingham  ,England,"1,70 m",Brentford FC,30-Jun-26,-,-,#3,left,
Denis Zakaria,€25.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",Switzerland,"Nov 20, 1996 (27)",Genf  ,Switzerland,"1,90 m",AS Monaco,30-Jun-28,-,-,#6,right,adidas
Weston McKennie,€25.00m,Central Midfield,"['Right Midfield', 'Defensive Midfield']",USA,"Aug 28, 1998 (25)","Little Elm, Texas  ",United States,"1,85 m",Juventus FC,30-Jun-25,-,-,#16,right,adidas
